Beginning text output: 
Time Stamp: 43.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 72.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 73.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 73.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 74.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 74.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 75.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 75.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 76.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 76.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 77.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 77.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 78.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 78.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 79.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 79.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 80.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 80.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 81.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 81.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 82.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 82.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 83.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 83.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 84.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 84.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 85.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
